first_name,fname,FName,given_name,frst_name,name_first,FirstName,First_Nm,given_nm,fn,last_name,lname,LastName,surname,family_name,lastnme,lst_name,sn,family_nm,customer_id,cust_id,client_id,user_id,account_id,id_customer,custid,ClientID,usr_id,acnt_id,customer_no,cust_no,email,email_address,e_mail,mail_addr,emial,contact_email,email_id,mail,primary_email,phone_number,mobile,tel,phone_no,contact_phone,phn,mobile_number,cell,telephone,created_date,registration_date,signup_date,create_dt,reg_date,date_created,created_on,join_date,address,street_address,addr,location,home_address,street_addr,addrs,status,account_status,user_status,stat,acc_status,amount,total_amount,amt,payment_amount,bill_amt,value,price,notes,description,comment,temp_col,extra_field
Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,25305,25305,25305,25305,25305,25305,25305,25305,25305,25305,25305,25305,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,555-6449,555-6449,555-6449,555-6449,555-6449,555-6449,555-6449,555-6449,555-6449,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,active,active,active,active,active,3672.2104955789714,3672.2104955789714,3672.2104955789714,3672.2104955789714,3672.2104955789714,3672.2104955789714,3672.2104955789714,Note A,Desc 2,Comment Y,21,X
David,David,David,David,David,David,David,David,David,David,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,85353,85353,85353,85353,85353,85353,85353,85353,85353,85353,85353,85353,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,david.johnson@example.com,555-3832,555-3832,555-3832,555-3832,555-3832,555-3832,555-3832,555-3832,555-3832,2023-01-02,2023-01-02,2023-01-02,2023-01-02,2023-01-02,2023-01-02,2023-01-02,2023-01-02,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,suspended,suspended,suspended,suspended,suspended,2611.0889577802704,2611.0889577802704,2611.0889577802704,2611.0889577802704,2611.0889577802704,2611.0889577802704,2611.0889577802704,Note B,Desc 2,Comment X,46,Y
Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,86797,86797,86797,86797,86797,86797,86797,86797,86797,86797,86797,86797,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,eva.lee@example.com,555-4579,555-4579,555-4579,555-4579,555-4579,555-4579,555-4579,555-4579,555-4579,2023-01-03,2023-01-03,2023-01-03,2023-01-03,2023-01-03,2023-01-03,2023-01-03,2023-01-03,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,456 Oak Ave,pending,pending,pending,pending,pending,4342.122412217219,4342.122412217219,4342.122412217219,4342.122412217219,4342.122412217219,4342.122412217219,4342.122412217219,Note A,Desc 2,Comment X,91,Y
Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,Lee,75953,75953,75953,75953,75953,75953,75953,75953,75953,75953,75953,75953,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,grace.lee@example.com,555-6971,555-6971,555-6971,555-6971,555-6971,555-6971,555-6971,555-6971,555-6971,2023-01-04,2023-01-04,2023-01-04,2023-01-04,2023-01-04,2023-01-04,2023-01-04,2023-01-04,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,pending,pending,pending,pending,pending,1233.9748059541193,1233.9748059541193,1233.9748059541193,1233.9748059541193,1233.9748059541193,1233.9748059541193,1233.9748059541193,Note B,Desc 1,Comment Y,27,Y
Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,67458,67458,67458,67458,67458,67458,67458,67458,67458,67458,67458,67458,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,charlie.brown@example.com,555-5164,555-5164,555-5164,555-5164,555-5164,555-5164,555-5164,555-5164,555-5164,2023-01-05,2023-01-05,2023-01-05,2023-01-05,2023-01-05,2023-01-05,2023-01-05,2023-01-05,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,active,active,active,active,active,795.1298919156046,795.1298919156046,795.1298919156046,795.1298919156046,795.1298919156046,795.1298919156046,795.1298919156046,Note A,Desc 1,Comment Y,66,Y
Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,Brown,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,eva.brown@example.com,eva.brown@example.com,eva.brown@example.com,eva.brown@example.com,eva.brown@example.com,eva.brown@example.com,eva.brown@example.com,eva.brown@example.com,eva.brown@example.com,555-8941,555-8941,555-8941,555-8941,555-8941,555-8941,555-8941,555-8941,555-8941,2023-01-06,2023-01-06,2023-01-06,2023-01-06,2023-01-06,2023-01-06,2023-01-06,2023-01-06,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,active,active,active,active,active,810.3965255970597,810.3965255970597,810.3965255970597,810.3965255970597,810.3965255970597,810.3965255970597,810.3965255970597,Note A,Desc 2,Comment X,41,Y
Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Eva,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,13267,13267,13267,13267,13267,13267,13267,13267,13267,13267,13267,13267,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,eva.smith@example.com,555-6569,555-6569,555-6569,555-6569,555-6569,555-6569,555-6569,555-6569,555-6569,2023-01-07,2023-01-07,2023-01-07,2023-01-07,2023-01-07,2023-01-07,2023-01-07,2023-01-07,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,101 Elm Ln,active,active,active,active,active,1676.704304938737,1676.704304938737,1676.704304938737,1676.704304938737,1676.704304938737,1676.704304938737,1676.704304938737,Note A,Desc 2,Comment X,13,Y
Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,92745,92745,92745,92745,92745,92745,92745,92745,92745,92745,92745,92745,grace.smith@example.com,grace.smith@example.com,grace.smith@example.com,grace.smith@example.com,grace.smith@example.com,grace.smith@example.com,grace.smith@example.com,grace.smith@example.com,grace.smith@example.com,555-5300,555-5300,555-5300,555-5300,555-5300,555-5300,555-5300,555-5300,555-5300,2023-01-08,2023-01-08,2023-01-08,2023-01-08,2023-01-08,2023-01-08,2023-01-08,2023-01-08,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,inactive,inactive,inactive,inactive,inactive,1201.0632561920775,1201.0632561920775,1201.0632561920775,1201.0632561920775,1201.0632561920775,1201.0632561920775,1201.0632561920775,Note B,Desc 2,Comment Y,9,Y
Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Bob,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,Johnson,99588,99588,99588,99588,99588,99588,99588,99588,99588,99588,99588,99588,bob.johnson@example.com,bob.johnson@example.com,bob.johnson@example.com,bob.johnson@example.com,bob.johnson@example.com,bob.johnson@example.com,bob.johnson@example.com,bob.johnson@example.com,bob.johnson@example.com,555-7269,555-7269,555-7269,555-7269,555-7269,555-7269,555-7269,555-7269,555-7269,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,2023-01-09,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,789 Pine Rd,active,active,active,active,active,4651.150849043596,4651.150849043596,4651.150849043596,4651.150849043596,4651.150849043596,4651.150849043596,4651.150849043596,Note A,Desc 1,Comment X,36,X
Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Charlie,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,Smith,48513,48513,48513,48513,48513,48513,48513,48513,48513,48513,48513,48513,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,charlie.smith@example.com,555-4818,555-4818,555-4818,555-4818,555-4818,555-4818,555-4818,555-4818,555-4818,2023-01-10,2023-01-10,2023-01-10,2023-01-10,2023-01-10,2023-01-10,2023-01-10,2023-01-10,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,123 Main St,pending,pending,pending,pending,pending,538.1121282046341,538.1121282046341,538.1121282046341,538.1121282046341,538.1121282046341,538.1121282046341,538.1121282046341,Note B,Desc 1,Comment Y,86,Y
